+----+---------+--------+
|    |   count |   xpos |
|----+---------+--------|
|  0 |       0 |    0.5 |
|  1 |       0 |    1.5 |
|  2 |       0 |    2.5 |
|  3 |       0 |    3.5 |
|  4 |       0 |    4.5 |
|  5 |       0 |    5.5 |
|  6 |       0 |    6.5 |
|  7 |       0 |    7.5 |
|  8 |       0 |    8.5 |
|  9 |     238 |    9.5 |
| 10 |     248 |   10.5 |
| 11 |     236 |   11.5 |
| 12 |     269 |   12.5 |
| 13 |     203 |   13.5 |
| 14 |     161 |   14.5 |
| 15 |     146 |   15.5 |
| 16 |     180 |   16.5 |
| 17 |     180 |   17.5 |
| 18 |     191 |   18.5 |
| 19 |     131 |   19.5 |
| 20 |     169 |   20.5 |
| 21 |     169 |   21.5 |
| 22 |     181 |   22.5 |
| 23 |     170 |   23.5 |
| 24 |     186 |   24.5 |
| 25 |     161 |   25.5 |
| 26 |     148 |   26.5 |
| 27 |     157 |   27.5 |
| 28 |     136 |   28.5 |
| 29 |     176 |   29.5 |
| 30 |     155 |   30.5 |
| 31 |     157 |   31.5 |
| 32 |     191 |   32.5 |
| 33 |     172 |   33.5 |
| 34 |     143 |   34.5 |
| 35 |     150 |   35.5 |
| 36 |     149 |   36.5 |
| 37 |     142 |   37.5 |
| 38 |     150 |   38.5 |
| 39 |     140 |   39.5 |
| 40 |     159 |   40.5 |
| 41 |     136 |   41.5 |
| 42 |     174 |   42.5 |
| 43 |     160 |   43.5 |
| 44 |     140 |   44.5 |
| 45 |     136 |   45.5 |
| 46 |     146 |   46.5 |
| 47 |     131 |   47.5 |
| 48 |     150 |   48.5 |
| 49 |     156 |   49.5 |
| 50 |     170 |   50.5 |
| 51 |     146 |   51.5 |
| 52 |     146 |   52.5 |
| 53 |     145 |   53.5 |
| 54 |     139 |   54.5 |
| 55 |     147 |   55.5 |
| 56 |     141 |   56.5 |
| 57 |     133 |   57.5 |
| 58 |     151 |   58.5 |
| 59 |     153 |   59.5 |
| 60 |     169 |   60.5 |
| 61 |     136 |   61.5 |
| 62 |     146 |   62.5 |
| 63 |     126 |   63.5 |
| 64 |     134 |   64.5 |
| 65 |     134 |   65.5 |
| 66 |     131 |   66.5 |
| 67 |     166 |   67.5 |
| 68 |     139 |   68.5 |
| 69 |     134 |   69.5 |
| 70 |     143 |   70.5 |
| 71 |     126 |   71.5 |
| 72 |     146 |   72.5 |
| 73 |     121 |   73.5 |
| 74 |     124 |   74.5 |
| 75 |     150 |   75.5 |
| 76 |     129 |   76.5 |
| 77 |     110 |   77.5 |
| 78 |     139 |   78.5 |
| 79 |     155 |   79.5 |
| 80 |     135 |   80.5 |
| 81 |     134 |   81.5 |
| 82 |     164 |   82.5 |
| 83 |     143 |   83.5 |
| 84 |     135 |   84.5 |
| 85 |     141 |   85.5 |
| 86 |     133 |   86.5 |
| 87 |     137 |   87.5 |
| 88 |     151 |   88.5 |
| 89 |     109 |   89.5 |
| 90 |     126 |   90.5 |
| 91 |     143 |   91.5 |
| 92 |     134 |   92.5 |
| 93 |     115 |   93.5 |
| 94 |     115 |   94.5 |
| 95 |     102 |   95.5 |
| 96 |      71 |   96.5 |
| 97 |      65 |   97.5 |
| 98 |      35 |   98.5 |
| 99 |      10 |   99.5 |
+----+---------+--------+
