+----+---------+--------+
|    |   count |   xpos |
|----+---------+--------|
|  0 |       0 |    0.5 |
|  1 |       0 |    1.5 |
|  2 |       0 |    2.5 |
|  3 |       0 |    3.5 |
|  4 |       0 |    4.5 |
|  5 |       0 |    5.5 |
|  6 |       0 |    6.5 |
|  7 |       0 |    7.5 |
|  8 |       0 |    8.5 |
|  9 |    1083 |    9.5 |
| 10 |    1039 |   10.5 |
| 11 |    1015 |   11.5 |
| 12 |    1010 |   12.5 |
| 13 |     538 |   13.5 |
| 14 |       0 |   14.5 |
| 15 |       0 |   15.5 |
| 16 |       0 |   16.5 |
| 17 |     122 |   17.5 |
| 18 |     351 |   18.5 |
| 19 |     539 |   19.5 |
| 20 |     819 |   20.5 |
| 21 |     987 |   21.5 |
| 22 |     793 |   22.5 |
| 23 |     584 |   23.5 |
| 24 |     321 |   24.5 |
| 25 |     130 |   25.5 |
| 26 |      58 |   26.5 |
| 27 |     161 |   27.5 |
| 28 |     321 |   28.5 |
| 29 |     504 |   29.5 |
| 30 |     695 |   30.5 |
| 31 |     740 |   31.5 |
| 32 |     762 |   32.5 |
| 33 |     601 |   33.5 |
| 34 |     409 |   34.5 |
| 35 |     249 |   35.5 |
| 36 |     188 |   36.5 |
| 37 |     204 |   37.5 |
| 38 |     301 |   38.5 |
| 39 |     424 |   39.5 |
| 40 |     560 |   40.5 |
| 41 |     690 |   41.5 |
| 42 |     645 |   42.5 |
| 43 |     586 |   43.5 |
| 44 |     436 |   44.5 |
| 45 |     370 |   45.5 |
| 46 |     272 |   46.5 |
| 47 |     269 |   47.5 |
| 48 |     301 |   48.5 |
| 49 |     411 |   49.5 |
| 50 |     478 |   50.5 |
| 51 |     607 |   51.5 |
| 52 |     599 |   52.5 |
| 53 |     542 |   53.5 |
| 54 |     492 |   54.5 |
| 55 |     393 |   55.5 |
| 56 |     320 |   56.5 |
| 57 |     311 |   57.5 |
| 58 |     337 |   58.5 |
| 59 |     376 |   59.5 |
| 60 |     471 |   60.5 |
| 61 |     492 |   61.5 |
| 62 |     573 |   62.5 |
| 63 |     503 |   63.5 |
| 64 |     506 |   64.5 |
| 65 |     408 |   65.5 |
| 66 |     358 |   66.5 |
| 67 |     338 |   67.5 |
| 68 |     370 |   68.5 |
| 69 |     375 |   69.5 |
| 70 |     420 |   70.5 |
| 71 |     503 |   71.5 |
| 72 |     505 |   72.5 |
| 73 |     505 |   73.5 |
| 74 |     438 |   74.5 |
| 75 |     408 |   75.5 |
| 76 |     413 |   76.5 |
| 77 |     364 |   77.5 |
| 78 |     402 |   78.5 |
| 79 |     351 |   79.5 |
| 80 |     427 |   80.5 |
| 81 |     447 |   81.5 |
| 82 |     486 |   82.5 |
| 83 |     518 |   83.5 |
| 84 |     431 |   84.5 |
| 85 |     419 |   85.5 |
| 86 |     401 |   86.5 |
| 87 |     375 |   87.5 |
| 88 |     374 |   88.5 |
| 89 |     394 |   89.5 |
| 90 |     429 |   90.5 |
| 91 |     446 |   91.5 |
| 92 |     444 |   92.5 |
| 93 |     458 |   93.5 |
| 94 |     448 |   94.5 |
| 95 |     436 |   95.5 |
| 96 |     321 |   96.5 |
| 97 |     218 |   97.5 |
| 98 |     114 |   98.5 |
| 99 |      54 |   99.5 |
+----+---------+--------+
+----+---------+--------+
|    |   count |   xpos |
|----+---------+--------|
|  0 |       0 |    0.5 |
|  1 |       0 |    1.5 |
|  2 |       0 |    2.5 |
|  3 |       0 |    3.5 |
|  4 |       0 |    4.5 |
|  5 |       0 |    5.5 |
|  6 |       0 |    6.5 |
|  7 |       0 |    7.5 |
|  8 |       0 |    8.5 |
